,Outline,Critical,ID.,Descrição dos Serviços,Empreiteiro,Dur,Início,Fim,Início,Fim,%,Início,Fim,Observações,periodo
31,4,Yes,660,DISTRIBUIÇÃO HIDRÁULICA DE TETO - 20 ANDAR,Empresa 2,2 d,2021-05-19 00:00:00,2021-05-24 00:00:00,2021-06-21 00:00:00,2021-06-22 00:00:00,1,,,,2021-07-01
32,4,Yes,661,DISTRIBUIÇÃO HIDRÁULICA DE TETO - 21 ANDAR,Empresa 2,2 d,2021-05-26 00:00:00,2021-05-31 00:00:00,2021-06-28 00:00:00,2021-06-29 00:00:00,1,,,,2021-07-01
33,4,Yes,662,DISTRIBUIÇÃO HIDRÁULICA DE TETO - 22 ANDAR,Empresa 2,2 d,2021-06-02 00:00:00,2021-06-08 00:00:00,2021-07-20 00:00:00,2021-07-21 00:00:00,1,,,,2021-07-01
34,4,Yes,694,CONTRAPISO NAS ÁREAS SECAS (incluso cozinha) - 20 ANDAR,Empresa 4,5 d,2021-05-26 00:00:00,2021-06-01 00:00:00,2021-06-30 00:00:00,2021-07-06 00:00:00,,2021-07-07 00:00:00,2021-07-14 00:00:00,,2021-07-01
35,4,No,959,INFRAESTRUTURA DE EXAUSTÃO - 13 ANDAR,,3 d,2021-05-12 00:00:00,2021-05-14 00:00:00,2021-07-06 00:00:00,2021-07-08 00:00:00,1,,,,2021-07-01
36,4,No,960,INFRAESTRUTURA DE EXAUSTÃO - 14 ANDAR,,3 d,2021-05-19 00:00:00,2021-05-21 00:00:00,2021-07-12 00:00:00,2021-07-14 00:00:00,1,,,,2021-07-01
37,4,No,961,INFRAESTRUTURA DE EXAUSTÃO - 15 ANDAR,,3 d,2021-05-26 00:00:00,2021-05-28 00:00:00,2021-07-15 00:00:00,2021-07-19 00:00:00,1,,,,2021-07-01
38,4,No,2528,CHUMBADORES PARA GRADIS DE TERRAÇOS - 19 ANDAR,Empresa 5,2 d,2021-05-06 00:00:00,2021-05-07 00:00:00,2021-07-05 00:00:00,2021-07-06 00:00:00,1,,,,2021-07-01
39,4,No,3125,PRUMADA DE COMBATE A INCÊNDIOS - 21 ANDAR,Empresa 2,2 d,2021-05-03 00:00:00,2021-05-04 00:00:00,2021-06-18 00:00:00,2021-06-21 00:00:00,1,,,,2021-07-01
40,4,No,3126,PRUMADA DE COMBATE A INCÊNDIOS - 22 ANDAR,Empresa 2,2 d,2021-05-10 00:00:00,2021-05-11 00:00:00,2021-06-23 00:00:00,2021-06-24 00:00:00,1,,,,2021-07-01
41,4,No,3127,PRUMADA DE COMBATE A INCÊNDIOS - 23 ANDAR,Empresa 2,2 d,2021-05-17 00:00:00,2021-05-18 00:00:00,2021-06-28 00:00:00,2021-06-29 00:00:00,,2021-07-07 00:00:00,2021-07-08 00:00:00,,2021-07-01
42,4,No,3709,PRUMADA DE COMBATE A INCÊNDIOS - 20 ANDAR,Empresa 2,2 d,2021-04-29 00:00:00,2021-04-30 00:00:00,2021-06-17 00:00:00,2021-06-18 00:00:00,1,,,,2021-07-01
43,4,No,3710,PRUMADA DE COMBATE A INCÊNDIOS - 21 ANDAR,Empresa 2,2 d,2021-05-05 00:00:00,2021-05-06 00:00:00,2021-06-22 00:00:00,2021-06-23 00:00:00,1,,,,2021-07-01
44,4,No,3711,PRUMADA DE COMBATE A INCÊNDIOS - 22 ANDAR,Empresa 2,2 d,2021-05-12 00:00:00,2021-05-13 00:00:00,2021-06-25 00:00:00,2021-06-28 00:00:00,1,,,,2021-07-01
45,4,No,3712,PRUMADA DE COMBATE A INCÊNDIOS - 23 ANDAR,Empresa 2,2 d,2021-05-19 00:00:00,2021-05-20 00:00:00,2021-06-30 00:00:00,2021-07-01 00:00:00,,2021-07-07 00:00:00,2021-07-08 00:00:00,,2021-07-01
46,4,No,4287,INSTALAÇÃO DE BATENTE PCF - 13 ANDAR,Empresa 6,3 d,2021-05-13 00:00:00,2021-05-17 00:00:00,2021-06-16 00:00:00,2021-06-18 00:00:00,1,,,,2021-07-01
47,4,No,4288,INSTALAÇÃO DE BATENTE PCF - 14 ANDAR,Empresa 6,3 d,2021-05-18 00:00:00,2021-05-20 00:00:00,2021-06-21 00:00:00,2021-06-23 00:00:00,1,,,,2021-07-01
48,4,No,4685,TRATAMENTO DA ESTRUTURA DO TETO DA ESCADA - 28 ANDAR,Empresa 3,2 d,2021-05-10 00:00:00,2021-05-11 00:00:00,2021-06-15 00:00:00,2021-06-16 00:00:00,,,,Acompanha regularização da estrutura,2021-07-01
49,4,No,4686,TRATAMENTO DA ESTRUTURA DO TETO DA ESCADA - 29 ANDAR,Empresa 3,2 d,2021-05-17 00:00:00,2021-05-18 00:00:00,2021-06-22 00:00:00,2021-06-23 00:00:00,,,,Acompanha regularização da estrutura,2021-07-01
50,4,No,4687,TRATAMENTO DA ESTRUTURA DO TETO DA ESCADA - 30 ANDAR,Empresa 3,2 d,2021-05-24 00:00:00,2021-05-25 00:00:00,2021-06-29 00:00:00,2021-06-30 00:00:00,,,,Acompanha regularização da estrutura,2021-07-01
51,4,No,4688,TRATAMENTO DA ESTRUTURA DO TETO DA ESCADA - 31 ANDAR,Empresa 3,2 d,2021-05-31 00:00:00,2021-06-01 00:00:00,2021-07-06 00:00:00,2021-07-07 00:00:00,,,,Acompanha regularização da estrutura,2021-07-01
52,4,No,4710,BATENTE DE PORTA CORTA-FOGO EM ESCADA - 13 ANDAR,Empresa 6,2 d,2021-05-26 00:00:00,2021-05-27 00:00:00,2021-06-21 00:00:00,2021-06-22 00:00:00,1,,,,2021-07-01
53,4,No,4711,BATENTE DE PORTA CORTA-FOGO EM ESCADA - 14 ANDAR,Empresa 6,2 d,2021-05-28 00:00:00,2021-05-31 00:00:00,2021-06-24 00:00:00,2021-06-25 00:00:00,1,,,,2021-07-01
54,4,No,4712,BATENTE DE PORTA CORTA-FOGO EM ESCADA - 15 ANDAR,Empresa 6,2 d,2021-06-01 00:00:00,2021-06-02 00:00:00,2021-06-29 00:00:00,2021-06-30 00:00:00,1,,,,2021-07-01
55,4,No,4713,BATENTE DE PORTA CORTA-FOGO EM ESCADA - 16 ANDAR,Empresa 6,2 d,2021-06-04 00:00:00,2021-06-07 00:00:00,2021-07-02 00:00:00,2021-07-05 00:00:00,1,,,,2021-07-01
56,4,No,4714,BATENTE DE PORTA CORTA-FOGO EM ESCADA - 17 ANDAR,Empresa 6,2 d,2021-06-08 00:00:00,2021-06-09 00:00:00,2021-07-07 00:00:00,2021-07-08 00:00:00,1,,,,2021-07-01
57,4,No,4715,BATENTE DE PORTA CORTA-FOGO EM ESCADA - 18 ANDAR,Empresa 6,2 d,2021-06-10 00:00:00,2021-06-11 00:00:00,2021-07-13 00:00:00,2021-07-14 00:00:00,1,,,,2021-07-01
58,4,No,4738,REVESTIMENTO DE ARGAMASSA EM ESCADA - 1 ANDAR,Empresa 3,3 d,2021-05-03 00:00:00,2021-05-05 00:00:00,2021-06-21 00:00:00,2021-06-23 00:00:00,1,,,,2021-07-01
59,4,No,4739,REVESTIMENTO DE ARGAMASSA EM ESCADA - 2 ANDAR,Empresa 3,3 d,2021-05-06 00:00:00,2021-05-10 00:00:00,2021-06-24 00:00:00,2021-06-28 00:00:00,1,,,,2021-07-01
60,4,Yes,5704,ESTRUTURA DA TORRE TIPO - 16 ANDAR,Empresa 7,6 d,2021-05-15 00:00:00,2021-05-21 00:00:00,2021-06-22 00:00:00,2021-06-28 00:00:00,1,2021-06-25 00:00:00,2021-06-30 00:00:00,Concreto não deu pega. 2 dias de atraso,2021-07-01
61,4,Yes,5747,INSTALAÇÃO ELÉTRICA EMBUTIDA NA ESTRUTURA - 15 ANDAR,Empresa 2,2 d,2021-05-13 00:00:00,2021-05-14 00:00:00,2021-06-19 00:00:00,2021-06-21 00:00:00,1,,,,2021-07-01
62,4,Yes,5748,INSTALAÇÃO ELÉTRICA EMBUTIDA NA ESTRUTURA - 16 ANDAR,Empresa 2,2 d,2021-05-20 00:00:00,2021-05-21 00:00:00,2021-06-26 00:00:00,2021-06-28 00:00:00,1,,,,2021-07-01
63,4,Yes,5978,PRUMADAS HIDRO-SANITÁRIAS - 7 ANDAR,Empresa 2,3 d,2021-04-28 00:00:00,2021-04-30 00:00:00,2021-06-14 00:00:00,2021-06-16 00:00:00,1,,,,2021-07-01
64,4,No,10550,TRATAMENTO DA ESTRUTURA DO TETO DA ESCADA - 22 ANDAR,Empresa 3,2 d,2021-03-29 00:00:00,2021-03-30 00:00:00,2021-06-15 00:00:00,2021-06-16 00:00:00,,,,excluir,2021-07-01
65,4,No,10551,TRATAMENTO DA ESTRUTURA DO TETO DA ESCADA - 23 ANDAR,Empresa 3,2 d,2021-04-05 00:00:00,2021-04-06 00:00:00,2021-06-17 00:00:00,2021-06-18 00:00:00,,,,excluir,2021-07-01
66,4,No,10552,TRATAMENTO DA ESTRUTURA DO TETO DA ESCADA - 24 ANDAR,Empresa 3,2 d,2021-04-12 00:00:00,2021-04-13 00:00:00,2021-06-21 00:00:00,2021-06-22 00:00:00,,,,excluir,2021-07-01
67,4,No,10553,TRATAMENTO DA ESTRUTURA DO TETO DA ESCADA - 25 ANDAR,Empresa 3,2 d,2021-04-19 00:00:00,2021-04-20 00:00:00,2021-06-23 00:00:00,2021-06-24 00:00:00,,,,excluir,2021-07-01
68,4,No,10554,TRATAMENTO DA ESTRUTURA DO TETO DA ESCADA - 26 ANDAR,Empresa 3,2 d,2021-04-26 00:00:00,2021-04-27 00:00:00,2021-06-25 00:00:00,2021-06-28 00:00:00,,,,excluir,2021-07-01
69,4,No,10555,TRATAMENTO DA ESTRUTURA DO TETO DA ESCADA - 27 ANDAR,Empresa 3,2 d,2021-05-03 00:00:00,2021-05-04 00:00:00,2021-06-29 00:00:00,2021-06-30 00:00:00,,,,excluir,2021-07-01
70,4,No,10556,TRATAMENTO DA ESTRUTURA DO TETO DA ESCADA - 28 ANDAR,Empresa 3,2 d,2021-05-10 00:00:00,2021-05-11 00:00:00,2021-07-01 00:00:00,2021-07-02 00:00:00,,,,excluir,2021-07-01
71,4,No,10557,TRATAMENTO DA ESTRUTURA DO TETO DA ESCADA - 29 ANDAR,Empresa 3,2 d,2021-05-17 00:00:00,2021-05-18 00:00:00,2021-07-05 00:00:00,2021-07-06 00:00:00,,,,excluir,2021-07-01
72,3,No,11346,ESTRUTURA DA PERIFERIA - TRECHO D (PISCINA TORRE 1),Empresa 1,59 d,2021-05-20 00:00:00,2021-08-06 00:00:00,2021-03-25 00:00:00,2021-06-19 00:00:00,,,,,2021-07-01
73,4,No,11351,ESTRUTURA DA PERIFERIA - TRECHO D - 5 PVTO (ESTRUTURA DA PISCINA),Empresa 1,33 d,2021-07-15 00:00:00,2021-08-06 00:00:00,2021-05-13 00:00:00,2021-06-19 00:00:00,1,,,,2021-07-01
74,4,No,11362,ESTRUTURA DA PERIFERIA - TRECHO F - 4 PVTO,Empresa 7,24 d,2021-06-29 00:00:00,2021-07-12 00:00:00,2021-05-29 00:00:00,2021-06-25 00:00:00,1,,,,2021-07-01
75,3,Yes,51,CAIXILHOS - VALIDAÇÃO PROJETO,,1 d,2021-03-04 00:00:00,2021-03-04 00:00:00,2021-07-26 00:00:00,2021-07-26 00:00:00,,,,,2021-08-01
76,4,Yes,52,CAIXILHOS - VALIDAÇÃO PROJETO,,1 d,2021-03-04 00:00:00,2021-03-04 00:00:00,2021-07-26 00:00:00,2021-07-26 00:00:00,1,,,,2021-08-01
77,4,Yes,174,ESTRUTURA DA TORRE TIPO - 32 ANDAR,Empresa 1,6 d,2021-05-29 00:00:00,2021-06-04 00:00:00,2021-07-06 00:00:00,2021-07-12 00:00:00,1,,,,2021-08-01
78,4,Yes,175,ESTRUTURA DA TORRE TIPO - 33 ANDAR,Empresa 1,6 d,2021-06-05 00:00:00,2021-06-11 00:00:00,2021-07-13 00:00:00,2021-07-19 00:00:00,1,,,,2021-08-01
79,4,Yes,176,ESTRUTURA DA TORRE TIPO - 34 ANDAR,Empresa 1,6 d,2021-06-12 00:00:00,2021-06-18 00:00:00,2021-07-20 00:00:00,2021-07-26 00:00:00,1,,,,2021-08-01
80,4,Yes,177,ESTRUTURA DA TORRE TIPO - 35 ANDAR,Empresa 1,6 d,2021-06-19 00:00:00,2021-06-25 00:00:00,2021-07-27 00:00:00,2021-08-02 00:00:00,1,,,,2021-08-01
81,4,Yes,178,ESTRUTURA DA TORRE TIPO - 36 ANDAR,Empresa 1,6 d,2021-06-26 00:00:00,2021-07-02 00:00:00,2021-08-03 00:00:00,2021-08-09 00:00:00,1,,,,2021-08-01
82,4,Yes,179,ESTRUTURA DA TORRE TIPO - 37 ANDAR,Empresa 1,6 d,2021-07-03 00:00:00,2021-07-09 00:00:00,2021-08-10 00:00:00,2021-08-16 00:00:00,1,,,,2021-08-01
83,4,Yes,218,INSTALAÇÃO ELÉTRICA EMBUTIDA NA ESTRUTURA - 32 ANDAR,Empresa 2,2 d,2021-06-03 00:00:00,2021-06-04 00:00:00,2021-07-10 00:00:00,2021-07-12 00:00:00,1,,,,2021-08-01
84,4,Yes,219,INSTALAÇÃO ELÉTRICA EMBUTIDA NA ESTRUTURA - 33 ANDAR,Empresa 2,2 d,2021-06-10 00:00:00,2021-06-11 00:00:00,2021-07-17 00:00:00,2021-07-19 00:00:00,1,,,,2021-08-01
85,4,Yes,220,INSTALAÇÃO ELÉTRICA EMBUTIDA NA ESTRUTURA - 34 ANDAR,Empresa 2,2 d,2021-06-17 00:00:00,2021-06-18 00:00:00,2021-07-24 00:00:00,2021-07-26 00:00:00,1,,,,2021-08-01
86,4,Yes,221,INSTALAÇÃO ELÉTRICA EMBUTIDA NA ESTRUTURA - 35 ANDAR,Empresa 2,2 d,2021-06-24 00:00:00,2021-06-25 00:00:00,2021-07-31 00:00:00,2021-08-02 00:00:00,1,,,,2021-08-01
87,4,Yes,222,INSTALAÇÃO ELÉTRICA EMBUTIDA NA ESTRUTURA - 36 ANDAR,Empresa 2,2 d,2021-07-01 00:00:00,2021-07-02 00:00:00,2021-08-07 00:00:00,2021-08-09 00:00:00,1,,,,2021-08-01
88,4,Yes,223,INSTALAÇÃO ELÉTRICA EMBUTIDA NA ESTRUTURA - 37 ANDAR,Empresa 2,2 d,2021-07-08 00:00:00,2021-07-09 00:00:00,2021-08-14 00:00:00,2021-08-16 00:00:00,1,,,,2021-08-01
89,4,No,256,RETIRADA DO REESCORAMENTO E LIMPEZA DA ESTRUTURA - 27 ANDAR,,3 d,2021-05-29 00:00:00,2021-06-01 00:00:00,2021-07-06 00:00:00,2021-07-08 00:00:00,1,,,,2021-08-01
90,4,Yes,257,RETIRADA DO REESCORAMENTO E LIMPEZA DA ESTRUTURA - 28 ANDAR,,3 d,2021-06-05 00:00:00,2021-06-08 00:00:00,2021-07-13 00:00:00,2021-07-15 00:00:00,1,,,,2021-08-01
91,4,Yes,258,RETIRADA DO REESCORAMENTO E LIMPEZA DA ESTRUTURA - 29 ANDAR,,3 d,2021-06-12 00:00:00,2021-06-15 00:00:00,2021-07-20 00:00:00,2021-07-22 00:00:00,1,,,,2021-08-01
92,4,Yes,259,RETIRADA DO REESCORAMENTO E LIMPEZA DA ESTRUTURA - 30 ANDAR,,3 d,2021-06-19 00:00:00,2021-06-22 00:00:00,2021-07-27 00:00:00,2021-07-29 00:00:00,1,,,,2021-08-01
93,4,Yes,260,RETIRADA DO REESCORAMENTO E LIMPEZA DA ESTRUTURA - 31 ANDAR,,3 d,2021-06-26 00:00:00,2021-06-29 00:00:00,2021-08-03 00:00:00,2021-08-05 00:00:00,1,,,,2021-08-01
94,4,Yes,261,RETIRADA DO REESCORAMENTO E LIMPEZA DA ESTRUTURA - 32 ANDAR,,3 d,2021-07-03 00:00:00,2021-07-06 00:00:00,2021-08-10 00:00:00,2021-08-12 00:00:00,,2021-08-16 00:00:00,2021-08-21 00:00:00,,2021-08-01
95,4,Yes,262,RETIRADA DO REESCORAMENTO E LIMPEZA DA ESTRUTURA - 33 ANDAR,,3 d,2021-07-10 00:00:00,2021-07-13 00:00:00,2021-08-17 00:00:00,2021-08-19 00:00:00,,2021-08-23 00:00:00,2021-08-28 00:00:00,,2021-08-01
96,4,Yes,424,PLAQUEAMENTO DRY-WALL,,1 d,2021-02-18 00:00:00,2021-02-18 00:00:00,2021-07-08 00:00:00,2021-07-08 00:00:00,1,,,,2021-08-01
97,4,Yes,430,AZULEJO,,2 d,2021-03-04 00:00:00,2021-03-05 00:00:00,2021-07-12 00:00:00,2021-07-13 00:00:00,1,,,,2021-08-01
98,4,Yes,431,PISO CERÂMICO (apto e hall),,2 d,2021-03-08 00:00:00,2021-03-09 00:00:00,2021-07-14 00:00:00,2021-07-15 00:00:00,1,,,,2021-08-01
99,4,Yes,432,BAGUETES / SOLEIRAS,,1 d,2021-03-09 00:00:00,2021-03-09 00:00:00,2021-07-15 00:00:00,2021-07-15 00:00:00,1,,,,2021-08-01
100,4,Yes,433,PISO DO TERRAÇO,,2 d,2021-03-10 00:00:00,2021-03-11 00:00:00,2021-07-16 00:00:00,2021-07-19 00:00:00,1,,,,2021-08-01
101,4,Yes,434,REJUNTAMENTO COMPLETO,,2 d,2021-03-10 00:00:00,2021-03-11 00:00:00,2021-07-16 00:00:00,2021-07-19 00:00:00,1,,,,2021-08-01
102,4,Yes,495,PRUMADAS HIDRO-SANITÁRIAS - 25 ANDAR,Empresa 2,3 d,2021-05-26 00:00:00,2021-05-28 00:00:00,2021-07-07 00:00:00,2021-07-12 00:00:00,1,,,,2021-08-01
103,4,Yes,496,PRUMADAS HIDRO-SANITÁRIAS - 26 ANDAR,Empresa 2,3 d,2021-06-02 00:00:00,2021-06-07 00:00:00,2021-07-13 00:00:00,2021-07-15 00:00:00,1,,,,2021-08-01
104,4,Yes,497,PRUMADAS HIDRO-SANITÁRIAS - 27 ANDAR,Empresa 2,3 d,2021-06-09 00:00:00,2021-06-11 00:00:00,2021-07-16 00:00:00,2021-07-20 00:00:00,1,,,,2021-08-01
105,4,Yes,498,PRUMADAS HIDRO-SANITÁRIAS - 28 ANDAR,Empresa 2,3 d,2021-06-16 00:00:00,2021-06-18 00:00:00,2021-07-23 00:00:00,2021-07-27 00:00:00,1,,,,2021-08-01
106,4,Yes,499,PRUMADAS HIDRO-SANITÁRIAS - 29 ANDAR,Empresa 2,3 d,2021-06-23 00:00:00,2021-06-25 00:00:00,2021-07-30 00:00:00,2021-08-03 00:00:00,1,,,,2021-08-01
107,4,Yes,500,PRUMADAS HIDRO-SANITÁRIAS - 30 ANDAR,Empresa 2,3 d,2021-06-30 00:00:00,2021-07-02 00:00:00,2021-08-06 00:00:00,2021-08-10 00:00:00,1,,,,2021-08-01
108,4,Yes,501,PRUMADAS HIDRO-SANITÁRIAS - 31 ANDAR,Empresa 2,3 d,2021-07-07 00:00:00,2021-07-12 00:00:00,2021-08-13 00:00:00,2021-08-17 00:00:00,0.75,,2021-08-20 00:00:00,,2021-08-01
109,4,Yes,529,CHUMBAMENTO DE PRUMADAS - 25 ANDAR,Empresa 2,2 d,2021-05-27 00:00:00,2021-05-28 00:00:00,2021-07-08 00:00:00,2021-07-12 00:00:00,1,,,,2021-08-01
110,4,Yes,530,CHUMBAMENTO DE PRUMADAS - 26 ANDAR,Empresa 2,2 d,2021-06-04 00:00:00,2021-06-07 00:00:00,2021-07-14 00:00:00,2021-07-15 00:00:00,1,,,,2021-08-01
111,4,Yes,531,CHUMBAMENTO DE PRUMADAS - 27 ANDAR,Empresa 2,2 d,2021-06-10 00:00:00,2021-06-11 00:00:00,2021-07-19 00:00:00,2021-07-20 00:00:00,1,,,,2021-08-01
112,4,Yes,532,CHUMBAMENTO DE PRUMADAS - 28 ANDAR,Empresa 2,2 d,2021-06-17 00:00:00,2021-06-18 00:00:00,2021-07-26 00:00:00,2021-07-27 00:00:00,1,,,,2021-08-01
113,4,Yes,533,CHUMBAMENTO DE PRUMADAS - 29 ANDAR,Empresa 2,2 d,2021-06-24 00:00:00,2021-06-25 00:00:00,2021-08-02 00:00:00,2021-08-03 00:00:00,1,,,,2021-08-01
114,4,Yes,534,CHUMBAMENTO DE PRUMADAS - 30 ANDAR,Empresa 2,2 d,2021-07-01 00:00:00,2021-07-02 00:00:00,2021-08-09 00:00:00,2021-08-10 00:00:00,1,,,,2021-08-01
